GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
carwash,carwash.app,CarWashApp,3,84,1,1,1,18,2,2,1,2
carwash,carwash.service,Transaksi,0,86,2,4,0,21,2,8,0,7
carwash,carwash.model,PelangganVip,0,35,1,1,0,7,1,2,0,2
carwash,carwash.model,Motor,0,5,0,0,0,2,0,1,0,1
carwash,carwash.model,Pelanggan,0,20,0,0,0,7,0,4,0,4
carwash,carwash.model,Mobil,0,5,0,0,0,2,0,1,0,1
carwash,carwash.model,PelangganReguler,0,35,1,1,0,7,1,2,0,2
carwash,carwash.model,Kendaraan,0,47,1,1,0,11,1,5,0,5
carwash,carwash.layanan,CuciBiasa,0,20,0,3,0,6,0,5,0,3
carwash,carwash.layanan,CuciSteam,0,20,0,3,0,6,0,5,0,3
